City ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
347,Bălţi,47.76,27.93,72.0,79,93,1.99,MD,1596069737
348,Touros,-5.2,-35.46,73.4,94,40,3.36,BR,1596069737
349,Sayyan,15.17,44.32,59.65,84,77,5.35,YE,1596069737
350,San Quintín,30.48,-115.95,70.66,72,0,16.93,MX,1596069737
351,Luang Prabang,19.89,102.13,77.0,94,75,0.63,LA,1596069738
352,Saint George,37.1,-113.58,106.0,7,1,4.7,US,1596069738
353,Cockburn Town,21.46,-71.14,83.19,80,23,24.65,TC,1596069555
354,Richards Bay,-28.78,32.04,61.97,83,0,2.86,ZA,1596069738
355,Nome,64.5,-165.41,51.8,81,90,11.41,US,1596069738
356,Thinadhoo,0.53,72.93,83.01,76,100,16.35,MV,1596069738
357,Deputatsky,69.3,139.9,46.4,59,68,9.22,RU,1596069738
358,Tolaga Bay,-38.37,178.3,54.72,62,0,5.88,NZ,1596069738
359,Baykit,61.67,96.37,59.02,82,100,7.85,RU,1596069738
360,Port Moresby,-9.44,147.18,80.6,83,40,11.41,PG,1596069558
361,San Patricio,19.22,-104.7,82.4,100,90,1.61,MX,1596069739
362,Zhangaözen,43.3,52.8,68.67,54,10,18.21,KZ,1596069739
363,Borovichi,58.39,33.92,55.35,96,20,6.11,RU,1596069739
364,Beyneu,45.32,55.2,68.4,63,100,10.0,KZ,1596069739
365,Mizdah,31.45,12.98,69.28,71,0,8.59,LY,1596069739
366,Charters Towers,-20.1,146.27,69.51,43,0,14.5,AU,1596069739
367,Saint-Leu,-21.15,55.28,69.8,77,28,4.7,RE,1596069739
368,Quesnel,53.0,-122.5,78.8,39,1,6.93,CA,1596069739
369,Necochea,-38.55,-58.74,39.0,88,55,1.99,AR,1596069739
370,Weyburn,49.67,-103.85,81.97,49,28,17.45,CA,1596069740
371,Meulaboh,4.14,96.13,78.49,74,71,4.94,ID,1596069740
